mean,std,max_abs,zcr,rms,fundamental_freq,spectral_centroid,spectral_rolloff,spectral_flatness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,band_energy_0,band_energy_1,band_energy_2,band_energy_3,band_energy_4,band_energy_5,band_energy_6,band_energy_7,band_energy_8,band_energy_9,band_energy_10,band_energy_11,band_energy_12,label
-7.037635805318132e-05,0.055157747119665146,0.3028351664543152,0.21898818597560976,0.05515779182314873,225.35211267605635,1205.9659859304575,2500.0,0.22982260584831238,-18.610645294189453,-17.609121322631836,-16.65205192565918,-15.191539764404297,-14.937395095825195,-16.06015968322754,-16.071611404418945,-15.053439140319824,-15.043468475341797,-15.577165603637695,-15.828351974487305,-16.18876075744629,-16.73919677734375,2.203396206823527e-06,1.3568218264481402e-06,3.060436029045377e-07,4.104313973130047e-07,3.7273875364007836e-07,2.620637360450928e-07,7.584495165247063e-08,3.2001182148633234e-08,2.0420126034537134e-08,2.7363187271589595e-08,2.2947208577761558e-08,1.5102951778089846e-08,7.552160674606512e-09,0
6.11285722698085e-05,0.05627335608005524,0.4452955722808838,0.15340523097826086,0.05627338960766792,290.90909090909093,807.4116871816914,1062.5,0.15190179646015167,-18.499670028686523,-16.536088943481445,-15.061842918395996,-14.559977531433105,-14.225987434387207,-14.948259353637695,-15.165854454040527,-15.873116493225098,-15.412744522094727,-15.391318321228027,-15.665361404418945,-15.957365989685059,-16.2454833984375,2.5533254301990382e-06,2.11731298804807e-06,2.461805195252964e-07,8.35083397987546e-08,8.485385905032672e-08,9.433978931383535e-08,4.882812021378413e-08,3.3554581335693e-08,1.9667133699385886e-08,2.3110672486836847e-08,2.384738984062551e-08,1.4539604187291388e-08,4.74817030138297e-09,0
-8.431380592810456e-06,0.034059781581163406,0.28119754791259766,0.09729456018518519,0.034059785306453705,140.35087719298247,600.5559427291352,750.0,0.04205493628978729,-18.82637596130371,-17.823793411254883,-16.177791595458984,-15.879729270935059,-16.157875061035156,-15.512629508972168,-15.672874450683594,-16.348865509033203,-16.898942947387695,-17.054302215576172,-17.674297332763672,-18.255830764770508,-18.47806167602539,1.370175596093759e-06,4.4197304305271246e-07,4.447476342761547e-08,8.833202969071863e-08,3.3166212887181246e-08,8.517391236750882e-09,3.1142513012838435e-09,1.5350608562059165e-09,1.9405999029942222e-09,5.763901023136953e-10,3.722270547346085e-10,3.1033395297974664e-10,7.921913125485958e-11,0
1.0025080428022193e-06,0.039262376725673676,0.3327127993106842,0.08543882978723404,0.039262376725673676,115.94202898550725,423.20827456250805,625.0,0.022936418652534485,-18.931873321533203,-16.47147560119629,-15.330560684204102,-15.478812217712402,-15.62852954864502,-15.995388984680176,-16.185007095336914,-16.588905334472656,-17.144298553466797,-17.474830627441406,-18.146379470825195,-18.763883590698242,-19.317955017089844,2.0766560737683903e-06,5.282636266201735e-07,4.691336386031253e-08,1.2289387285591147e-08,5.744848152744453e-09,2.906922258461009e-09,9.390923594310152e-10,1.2342150634836457e-09,1.2717579211951602e-09,9.616289986524862e-10,9.226634456460658e-10,4.931111630135376e-10,2.391135900392527e-10,0
-8.190417247533333e-06,0.049697116017341614,0.41639453172683716,0.0651356686827957,0.049697116017341614,444.44444444444446,443.38309578424713,562.5,0.006755925714969635,-18.59607696533203,-16.802040100097656,-15.069375991821289,-14.489887237548828,-15.689092636108398,-15.237483978271484,-15.418188095092773,-15.133923530578613,-15.57689380645752,-16.365447998046875,-16.976619720458984,-17.421875,-18.2110652923584,3.7003510442445986e-06,5.47572881259839e-07,5.811110526110497e-08,1.3264362941356467e-08,2.867209802914772e-09,6.906752392232818e-10,9.20308440566231e-10,3.2780914094310276e-10,5.378102407860297e-10,4.4360323747660857e-10,2.0561512562022877e-12,2.283388864272873e-13,1.6502248244114337e-13,0
4.122066911804723e-06,0.05707086995244026,0.7776726484298706,0.12619745163690477,0.05707086622714996,219.17808219178082,1199.5761903245184,1812.5,0.21095521748065948,-18.6767635345459,-17.40725326538086,-16.07262420654297,-14.65697193145752,-14.745772361755371,-15.183588981628418,-15.188077926635742,-15.802648544311523,-16.492277145385742,-17.11792755126953,-17.33153533935547,-18.191808700561523,-18.837034225463867,2.49814911512658e-06,1.438472850168182e-06,7.151185172915575e-07,1.6350587372926384e-07,7.952192504490085e-08,3.5589881264286305e-08,8.142823304524427e-08,1.744063808928331e-07,1.8427311943014502e-07,7.42589847391173e-08,3.4728341091749826e-08,1.3597272641163727e-08,3.0563322983567787e-09,0
2.7856418455485255e-05,0.02814144268631935,0.19473861157894135,0.13755355342741934,0.028141457587480545,210.52631578947367,464.70477761597266,625.0,0.05023466795682907,-18.906036376953125,-17.187297821044922,-15.966747283935547,-14.857829093933105,-15.37685489654541,-16.380542755126953,-17.213703155517578,-16.8895320892334,-17.14882469177246,-17.114627838134766,-17.488712310791016,-18.29517364501953,-19.12470245361328,9.730239298733068e-07,3.4290445682927384e-07,3.344247545555845e-08,3.800338266302106e-09,2.857393432975641e-09,4.22277146583383e-09,2.2421142720219223e-09,3.1948634848788515e-09,3.070468546084726e-09,8.333952417061141e-10,1.0975359510112526e-09,1.5374355122332872e-09,1.0972596165004234e-09,0
0.00018575310241430998,0.02869288995862007,0.30478835105895996,0.14408172123015872,0.028693489730358124,246.15384615384616,655.472591961609,625.0,0.09849870204925537,-19.63408851623535,-18.19913673400879,-15.940242767333984,-16.392221450805664,-15.413997650146484,-16.436256408691406,-17.19134521484375,-16.816509246826172,-17.07280731201172,-17.7884464263916,-18.25145721435547,-19.102890014648438,-19.19599723815918,1.131813519350544e-06,1.735726300466922e-07,5.406558756249069e-08,2.0872338524213774e-08,1.3813632016024258e-08,7.884583652639776e-09,1.2677476846079117e-09,5.272899894492866e-09,9.25424092912408e-09,1.4452661289965363e-08,8.51849524252657e-09,2.002008336887684e-09,6.180573275393897e-10,0
-2.5737494070199318e-05,0.049690306186676025,0.36091190576553345,0.1814673639112903,0.049690309911966324,87.91208791208791,787.3674252374487,875.0,0.1427086591720581,-18.38938331604004,-16.555767059326172,-15.059820175170898,-13.501505851745605,-14.289361000061035,-14.993995666503906,-14.980118751525879,-14.611882209777832,-15.216696739196777,-15.49670124053955,-15.676345825195312,-16.744075775146484,-17.281660079956055,2.985713990710792e-06,9.132784839493979e-07,5.287665771902539e-08,9.278539714330236e-09,2.482515348845027e-08,3.0010149032477784e-08,2.848185864934294e-08,5.2537419747977765e-08,6.871604796288011e-08,4.5589583663740996e-08,2.6892621463048272e-08,2.1560548901788934e-08,7.793254042098852e-09,0
-3.8332000258378685e-05,0.12024302035570145,0.491195410490036,0.0856475830078125,0.12024302780628204,123.07692307692308,458.70676809688723,687.5,0.03867338225245476,-15.855895042419434,-13.707426071166992,-11.27608871459961,-12.362210273742676,-11.112417221069336,-12.58703327178955,-12.0623197555542,-12.435155868530273,-12.133598327636719,-12.963445663452148,-12.949018478393555,-13.35828971862793,-13.632282257080078,1.9152234017383307e-05,4.953337793267565e-06,5.908611910854233e-07,9.410881318672182e-08,9.01825387700228e-08,6.493559823184114e-08,2.497178819282908e-08,3.350099930798933e-08,3.693534011972588e-08,2.015322131398989e-08,1.4362145250856884e-08,1.1194721594165458e-08,3.963554373598299e-09,0
